hitaroði,27
hrafnblár,27
hvítlauf,27
náttblár,27
purpuraroði,27
Rauðhönd,27
rauðleir,27
rauðmöl,27
Rauðukúlur,27
rauðvíðir,27
svalblár,27
svartalágmark,27
svartbaugóttur,27
þangbrúnn,27
túngrænn,27
blábernska,26
bláflagg,26
Bleikrými,26
brúnteinóttur,26
grænflekkóttur,26
gullgrænn,26
haustroði,26
hreingulur,26
Hvítgengill,26
hvítuskortur,26
innfrarauður,26
jólarauður,26
léttbrúnn,26
mattsvartur,26
myglugrár,26
rauðabýti,26
rauðsteinn,26
svertingjastrákur,26
bleikjuhlaðborð,25
blóðroði,25
brúngrýti,25
brúnkuúði,25
grádökkur,25
Gráflekka,25
hvítblóma,25
hvítstofna.lo,25
purpurabrúnn,25
skolhvítur,25
svartakaf,25
svartdjöfull,25
svertingjaþorp,25
